name,surname,birth_date,height,role
Ørjan,Nyland,10/09/1990,192 cm,GK
Øyvind,Leonhardsen,17/08/1970,177 cm,MF
Ólafur,Skúlason,01/04/1983,183 cm,DF
Ólafur,Skúlason,01/04/1983,183 cm,MF
Óscar,Pérez,27/08/1981,175 cm,MF
Óscar,Ustari,03/07/1986,183 cm,GK
Àngel,Rangel,28/10/1982,188 cm,DF
İlkay,Gündoğan,24/10/1990,180 cm,MF
Çağlar,Söyüncü,23/05/1996,187 cm,DF
Édouard,Cissé,30/03/1978,186 cm,MF
Émerson,Thome,30/03/1972,188 cm,DF
Émile,Mpenza,04/07/1978,177 cm,FW
Éric,Cantona,24/05/1966,188 cm,FW
Éric,Roy,26/09/1967,188 cm,MF
Érik,Lamela,04/03/1992,181 cm,FW
Étienne,Capoue,11/07/1988,189 cm,MF
Ádám,Bogdán,27/09/1987,194 cm,GK
Ákos,Buzsáky,07/05/1982,180 cm,MF
Ákos,Onódi,02/09/2001,194 cm,GK
Álvaro,,27/04/1991,182 cm,FW
Álvaro,Fernández,13/04/1998,186 cm,GK
Álvaro,Negredo,20/08/1985,186 cm,FW
Ángel,Di María,14/02/1988,180 cm,FW
Ángelo,Balanta,01/07/1990,179 cm,FW
Ángelo,Henríquez,13/04/1994,175 cm,FW
Árni,Arason,07/05/1975,187 cm,GK
Łukasz,Fabiański,18/04/1985,190 cm,GK
Ívar,Ingimarsson,20/08/1977,183 cm,DF
Žan,Luk Leban,15/12/2002,188 cm,GK
Ľubomír,Šatka,02/12/1995,188 cm,DF
Ľubomir,Michalík,13/08/1983,200 cm,DF
Aaron,Brown,23/06/1983,183 cm,DF
Aaron,Connolly,28/01/2000,175 cm,FW
Aaron,Cresswell,15/12/1989,170 cm,DF
Aaron,Doran,13/05/1991,170 cm,MF
Aaron,Hughes,08/11/1979,183 cm,DF
Aaron,Lennon,16/04/1987,165 cm,MF
Aaron,Lescott,02/12/1978,173 cm,MF
Aaron,McCarey,14/01/1992,188 cm,GK
Aaron,Mitchell,14/04/1996,???,MF
Aaron,Mokoena,25/11/1980,187 cm,DF
Aaron,Mooy,15/09/1990,179 cm,MF
Aaron,Ramsdale,14/05/1998,191 cm,GK
Aaron,Ramsey,21/01/2003,178 cm,MF
Aaron,Ramsey,26/12/1990,182 cm,MF
Aaron,Rowe,07/09/2000,177 cm,MF
Aaron,Tshibola,02/01/1995,190 cm,MF
Aaron,Wan-Bissaka,26/11/1997,183 cm,DF
Aaron,Wan-Bissaka,26/11/1997,183 cm,MF
Aaron,Wilbraham,21/10/1979,191 cm,FW
Abdelhamid,Sabiri,28/11/1996,186 cm,MF
Abdeslam,Ouaddou,01/11/1978,190 cm,DF
Abdisalam,Ibrahim,01/05/1991,185 cm,MF
Abdoul,Razak,11/11/1992,179 cm,MF
Abdoulaye,Doucouré,01/01/1993,183 cm,MF
Abdoulaye,Faye,26/02/1978,187 cm,DF
Abdoulaye,Méïté,06/10/1980,185 cm,DF
Abdul,Rahman Baba,02/07/1994,179 cm,DF
Abel,Hernández,08/08/1990,185 cm,FW
Abel,Xavier,30/11/1972,189 cm,DF
Abou,Diaby,11/05/1986,191 cm,MF
Adalberto,Peñaranda,31/05/1997,186 cm,FW
Adam,Armstrong,10/02/1997,173 cm,FW
Adam,Blakeman,03/12/1991,175 cm,MF
Adam,Bolder,25/10/1980,175 cm,MF
Adam,Buxton,12/05/1992,185 cm,DF
Adam,Bygrave,24/02/1989,175 cm,DF
Adam,Campbell,01/01/1995,168 cm,FW
Adam,Chambers,20/11/1980,178 cm,DF
Adam,Clayton,14/01/1989,175 cm,MF
Adam,Collin,09/12/1984,191 cm,GK
Adam,Dawson,05/10/1992,???,MF
Adam,Drury,29/08/1978,175 cm,DF
Adam,Farley,12/01/1980,???,DF
Adam,Federici,31/01/1985,188 cm,GK
Adam,Forshaw,08/10/1991,175 cm,MF
Adam,Green,12/01/1984,176 cm,DF
Adam,Hammill,25/01/1988,180 cm,MF
Adam,Hardy,22/02/1983,173 cm,MF
Adam,Henley,14/06/1994,178 cm,DF
Adam,Idah,11/02/2001,190 cm,FW
Adam,Johnson,14/07/1987,175 cm,MF
Adam,King,11/10/1995,180 cm,MF
Adam,Lallana,10/05/1988,172 cm,MF
Adam,Le Fondre,02/12/1986,180 cm,FW
Adam,Legzdins,28/11/1986,190 cm,GK
Adam,Lewis,08/11/1999,175 cm,DF
Adam,Masina,02/01/1994,189 cm,DF
