name,surname,birth_date,nationality
Alan,Wiley,27/05/1960,England
Alan,Wilkie,00/00/1951,England
Allan,Gunn,23/01/1943,England
Andre,Marriner,01/01/1971,England
Andy,D'Urso,30/11/1963,England
Andy,Madley,05/09/1983,England
Anthony,Taylor,20/10/1978,England
Barry,Knight,07/05/1960,England
Bobby,Madley,06/10/1985,England
Brian,Hill,29/04/1947,England
Chris,Foy,20/11/1962,England
Chris,Kavanagh,04/09/1985,England
Clive,Wilkes,,England
Craig,Pawson,02/03/1979,England
Darren,England,00/00/1985,England
David,Allison,27/09/1948,England
David,Coote,,England
David,Crick,,England
David,Elleray,03/09/1954,England
David,Frampton,,England
David,Pugh,,England
Dermot,Gallagher,20/05/1957,England
Eddie,Wolstenholme,00/00/1954,England
Frazer,Stretton,,England
Gary,Willard,03/09/1959,England
Gerald,Ashby,06/11/1949,England
Graham,Barber,05/06/1958,England
Graham,Poll,29/07/1963,England
Graham,Scott,00/00/1968,England
Howard,King,01/09/1946,Wales
Howard,Webb,14/07/1971,England
Jarred,Gillett,01/11/1986,Australia
Jeff,Winter,18/04/1955,England
Jim,Borrett,,England
John,Brooks,,England
John,Lloyd,15/02/1948,Wales
Jonathan,Moss,18/10/1970,England
Joseph,Worrall,21/10/1945,England
Keith,Burge,10/08/1950,Wales
Keith,Cooper,21/03/1948,Wales
Keith,Hackett,22/06/1944,England
Keith,Stroud,12/08/1969,England
Kelvin,Morton,,England
Keren,Barratt,00/00/1946,England
Kevin,Friend,08/07/1971,England
Lee,Mason,29/10/1971,England
Lee,Probert,13/08/1972,England
Mark,Clattenburg,13/03/1975,England
Mark,Halsey,08/07/1961,England
Martin,Atkinson,31/03/1971,England
Martin,Bodenham,23/04/1950,England
Matt,Messias,07/05/1964,England
Michael,Oliver,20/02/1985,England
Michael,Salisbury,,England
Mike,Dean,02/06/1968,England
Mike,Jones,18/04/1968,England
Mike,Reed,22/10/1951,England
Mike,Riley,17/12/1964,England
name,surname,birth_date,nationality
Neale,Barry,04/06/1958,England
Neil,Swarbrick,27/07/1970,England
Paul,Alcock,27/10/1953,England
Paul,Danson,02/05/1958,England
Paul,Durkin,15/08/1955,England
Paul,Taylor,20/06/1959,England
Paul,Tierney,25/12/1980,England
Peter,Bankes,,England
Peter,Foakes,,England
Peter,Jones,00/00/1950,England
Peter,Walton,10/10/1959,England
Phil,Crossley,14/07/1960,England
Phil,Dowd,26/01/1963,England
Philip,Don,10/03/1952,England
Richard,Beeby,11/01/1962,England
Rob,Harris,19/08/1956,England
Rob,Styles,21/04/1964,England
Robert,Hart,09/10/1947,England
Robert,Jones,,England
Rodger,Gifford,12/04/1948,Wales
Roger,Dilkes,16/08/1948,England
Roger,East,12/05/1965,England
Roger,Milford,,England
Simon,Hooper,15/07/1982,England
Stephen,Lodge,26/09/1952,England
Steve,Bennett,17/01/1961,England
Steve,Dunn,24/10/1957,England
Steve,Tanner,21/09/1970,England
Stuart,Attwell,06/10/1982,England
T,Lloyd,,England
Terry,Holbrook,06/12/1945,England
Tim,Robinson,,England
Tony,Harrington,,England
Uriah,Rennie,23/10/1959,England
Vic,Callow,,England
