name,address,stadium,url
AFC Bournemouth,Dean Court Ground - Bournemouth,Vitality Stadium,https://www.afcb.co.uk/
Arsenal FC,Drayton Park 75 - Highbury - N5 1BU London,Emirates Stadium,https://www.arsenal.com/
Aston Villa,Villa Park - Trinity Road - B6 6HE Birmingham,Villa Park,http://www.avfc.co.uk
Barnsley FC,Oakwell Ground - Barnsley,Oakwell Ground,http://www.barnsleyfc.co.uk/
Birmingham City,St. Andrew's Ground - B9 4NH Birmingham,St Andrew's Ground,http://www.bcfc.com
Blackburn Rovers,Ewood Park - Bolton Road - BB2 4JF Blackburn,Ewood Park,https://www.rovers.co.uk/
Blackpool FC,Seasiders Way - Blackpool - FY1 6JJ Blackpool,Bloomfield Road,http://www.blackpoolfc.co.uk
Bolton Wanderers,Reebok Stadium - Burnden Way - BL6 6JW Bolton,University of Bolton Stadium,https://www.bwfc.co.uk/
Bradford City,Valley Parade - West Yorkshire - BD8 7DY Bradford,Valley Parade,http://www.bradfordcityfc.co.uk
Brentford FC,Griffin Park - Braemar Road - Brentford,Brentford Community Stadium,
Brighton & Hove Albion,The Withdean Stadium - Tongdean Lane - 118 Queens Road - BN1 3XG Brighton,Amex Stadium,
Burnley FC,Harry Potts Way - Burnley,Turf Moor,https://www.burnleyfootballclub.com/
Cardiff City,Leckwith Rd - CF11 8AZ Cardiff,Cardiff City Stadium,https://www.cardiffcityfc.co.uk/
Charlton Athletic,The Valley - Floyd Road - London,The Valley,https://www.cafc.co.uk
Chelsea FC,Fulham Road - SW6 1HS London,Stamford Bridge,https://www.chelseafc.com/
Coventry City,Highfield Road Stadium - King Richard St. - Coventry,St Andrew's Ground,http://www.ccfc.co.uk/
Crystal Palace,Selhurst Park - SE25 6PU London,Selhurst Park,https://www.cpfc.co.uk/
Derby County,Pride Park Stadium - DE24 8XL Derby,Pride Park Stadium,http://www.dcfc.premiumtv.co.uk/
Everton FC,Goodison Park - L4 4EL Liverpool,Goodison Park,http://www.evertonfc.com
Fulham FC,Craven Cottage - Stevenage Road - SW6 6HH London,Craven Cottage,https://www.fulhamfc.com/
Huddersfield Town,Huddersfield Town AFC - Alfred McAlpine Stadium - Huddersfield,John Smith’s Stadium,https://www.htafc.com/
Hull City,The Kingston Communications Stadium - The Circle - Walton Street - Hull - Kingston upon Hull,Kingston Communications Stadium,https://www.hullcitytigers.com/
Ipswich Town,Portman Road Ipswich,Portman Road,http://www.itfc.co.uk
Leeds United,Elland Road - LS11 0ES Leeds,Elland Road,http://www.leedsunited.com
Leicester City,Filbert Street - LE2 7FL Leicester,King Power Stadium,https://www.lcfc.com/
Liverpool FC,Anfield Road - L4 0TH Liverpool,Anfield,http://www.liverpoolfc.com/
Manchester City,Sportcity - Rowsley Street - M11 3FF Manchester,Etihad Stadium,https://www.mancity.com/
Manchester United,Sir Matt Busby Way - Old Trafford - M16 0RA Manchester,Old Trafford,http://www.manutd.com/
Middlesbrough FC,BT Cellnet Riverside Stadium - Cleveland - TS3 6RS Middlesbrough,Riverside,http://www.mfc.co.uk
Newcastle United,St. James Park - NE1 4ST Newcastle,St James' Park,https://www.nufc.co.uk/
Norwich City,Carrow Road - Norwich,Carrow Road,http://www.canaries.co.uk
Nottingham Forest,City Ground - NG2 5FJ Nottingham,City Ground,http://www.nottinghamforest.co.uk
Oldham Athletic,Boundary Park Oldham,Boundary Park,http://www.oldhamathletic.co.uk
Portsmouth FC,Fratton Park - Frogmore Road - Portsmouth,Fratton Park,http://www.portsmouthfc.co.uk
Queens Park Rangers,Loftus Road Stadium - South Africa Road - W12 7PA London,Loftus Road,http://www.qpr.co.uk
Reading FC,Madejski Stadium - Bennett Road - RG2 0FL Reading,Select Car Leasing Stadium,http://www.readingfc.co.uk
Sheffield United,Bramall Lane - S2 4SU Sheffield,Bramall Lane,http://www.sufc.co.uk
Sheffield Wednesday,Hillsborough - S6 1SW Sheffield,Hillsborough,http://www.swfc.premiumtv.co.uk
Southampton FC,Milton Road - Britannia Road - SO15 2XH Southampton,Saint Mary's,https://southamptonfc.com/
Stoke City,Britannia Stadium - Matthews Way - ST4 4EG Stoke On Trent,bet365 Stadium,https://www.stokecityfc.com/
Sunderland AFC,Stadium Of Light - SR5 1SU Sunderland,Stadium of Light,http://www.safc.com
Swansea City,Liberty Stadium - Landore - SA12FA Swansea,Liberty Stadium,https://www.swanseacity.com/
Swindon Town,County Ground - County Road - Swindon,County Ground,http://www.swindontownfc.premiumtv.co.uk/
Tottenham Hotspur,Bill Nicholson Way - 748 High Road - Tottenham - N17 0AP London,Tottenham Hotspur Stadium,http://www.spurs.co.uk
Watford FC,Watford FC - Vicarage Road Stadium - WD18 0ER Watford,Vicarage Road,https://www.watfordfc.com/
West Bromwich Albion,The Hawthorns - Halfords Lane - B71 4LF West Bromwich,The Hawthorns,https://www.wba.co.uk/
West Ham United,London Stadium - Queen Elizabeth Olympic Park - E20 2ST London,London Stadium,https://www.whufc.com/
Wigan Athletic,Robin Park - Newtown - WN5 OUZ Wigan,DW Stadium,https://www.wiganathletic.com/
Wimbledon FC,King's College London New Malden Sports Ground,Plough Lane,https://www.afcwimbledon.co.uk/
Wolverhampton Wanderers,Molineux Ground - Waterloo Road - WV1 4QR Wolverhampton,Molineux Stadium,https://www.wolves.co.uk/
